Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),COSPAR Number,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Aerocube 8C,41853,USA,Aerospace Corporation,Commercial,Technology Development,,"569km × 584km, 97.9°",LEO,Sun-Synchronous,96.2,5,2016-067F,11/11/2016,,,
Aerocube 8D,41852,USA,Aerospace Corporation,Commercial,Technology Development,,"572km × 584km, 98°",LEO,Sun-Synchronous,96.23,2,2016-067E,11/11/2016,,,
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",33460,Multinational,EUTELSAT S.A.,Commercial,Communications,,"35764km × 35808km, 0.12°",GEO,,1436.08,"3,460",2008-065B,20/12/2008,15,,30 Ku-band transponders.
AIM (Aeronomy of Ice in Mesosphere),31304,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,"544km × 552km, 97.9°",LEO,Sun-Synchronous,96.2,215,2007-015A,25/04/2007,2,,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
AISat-1,40054,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),"643km × 660km, 98.25°",LEO,Sun-Synchronous,97.76,14,2014-034B,30/06/2014,,,Satellite equipped with AIS tracking.
AISSat-1 (Automatic Identification System Satellite-1),36797,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),"615km × 632km, 98°",LEO,Sun-Synchronous,97.2,6,2010-035C,12/07/2010,3,,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
AISSat-2 (Automatic Identification System Satellite-2),40075,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),"625km × 631km, 98.4°",LEO,Sun-Synchronous,97.27,6,2014-037G,08/07/2014,3,,Second in the series.
AIST-1,39492,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,"599km × 626km, 82.4°",LEO,Polar,96.9,,2013-078C,28/12/2013,,,Designed to measure the Earth's geomagnetic field and test out a new satellite design.
AIST-2,39133,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,"558km × 582km, 64.88°",LEO,Non-Polar Inclined,96.06,53,2013-015D,19/04/2013,3,,Designed to measure the Earth's geomagnetic field and test out a new satellite design.
AIST-2D,41465,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,"471km × 486km, 97.28°",LEO,Sun-Synchronous,94.18,531,2016-026B,27/04/2016,,,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth's surface to study underground structures."
AISTechSat-2,43768,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),"574km × 592km, 97.8°",LEO,Sun-Synchronous,96.4,3,2018-099L,03/12/2018,,,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
AISTechSat-3,44103,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),"490km × 506km, 97.5°",LEO,Sun-Synchronous,94.6,2,2019-018AB,01/04/2019,,,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.
Al Yah-3,43174,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,"35777km × 35796km, 0°",GEO,,1436,"3,795",2018-012A,25/01/2018,15,,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
Alcomsat (Algerian Communications Satellite),43039,Algeria,Algerian Space Agency (ASAL),Government,Communications,,"35744km × 35798km, 0.04°",GEO,,1436.1,"5,225",2017-078A,10/12/2017,15,,Algeria's first communications satellite.
ALE-2 (Astro Live Experiences-2),44824,Japan,Astro Live Experiences,Commercial,Earth Science,,"397km × 414km, 97.01°",LEO,Sun-Synchronous,92.06,75,2019-084A,06/12/2019,,,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.
Al-Farabi-2,43805,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,"573km × 589km, 97.7°",LEO,Sun-Synchronous,96.2,4,2018-099AZ,03/12/2018,,,Technology demonstration mission.
ALiCE(AFIT LEO iMESA CNT E),39467,USA,US Air Force Institute of Technology,Military,Technology Development,,"443km × 886km, 120.3°",LEO,Polar,98,5,2013-072F,06/12/2013,,,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.
Alsat 2B,41786,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,"646km × 660km, 98.2°",LEO,Sun-Synchronous,97.7,117,2016-059D,26/09/2016,5,,Surveillance.
Alsat-1B,41785,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,"661km × 704km, 98.2°",LEO,Sun-Synchronous,98.4,103,2016-059C,26/09/2016,5,,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
AlSat-1N,41789,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,"661km × 698km, 98.2°",LEO,Sun-Synchronous,98.3,10,2016-059G,26/09/2016,,,Technology demonstration satellite for Algerian students.
Alsat-2A (Algeria Satellite 2A),36798,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,"672km × 674km, 98.1°",LEO,Sun-Synchronous,98.2,130,2010-035D,12/07/2010,5,,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
Amazonas-2,35942,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35767km × 35805km, 0.03°",GEO,,1436.08,"5,465",2009-054A,01/10/2009,15,,"54 Ku-band, 10 C-band transponders; North, Central and South America."
Amazonas-3,39078,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35781km × 35791km, 0.03°",GEO,,1436.05,"6,265",2013-006A,07/02/2013,15,,
Amazonas-4A,39616,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35784km × 35795km, 0.08°",GEO,,1436.24,"2,938",2014-011A,22/03/2014,15,,Suffered a power malfunction shortly after entering orbit; will affect capacity.
Amazonas-5,42934,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35785km × 35789km, 0.04°",GEO,,1436.11,"5,900",2017-053A,12/09/2017,15,,"34 Ka-band, 24 Ku-band"
"AMC-1 (Americom 1, GE-1)",24315,USA,SES S.A.,Commercial,Communications,,"35772km × 35800km, 0.03°",GEO,,1436.1,"2,783",1996-054A,08/09/1996,15,,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
"AMC-11 (Americom-11, GE 11)",28252,USA,SES S.A.,Commercial,Communications,,"35774km × 35797km, 0.04°",GEO,,1436.07,"2,340",2004-017A,19/05/2004,15,,24 C-band transponders.
AMC-15 (Americom-15),28446,USA,SES S.A.,Commercial,Communications,,"35777km × 35795km, 0.04°",GEO,,1436.08,"4,200",2004-041A,14/10/2004,15,,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
AMC-16 (Americom-16),28472,USA,SES S.A.,Commercial,Communications,,"35780km × 35793km, 0.02°",GEO,,1436.1,"4,312",2004-048A,17/12/2004,15,,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
AMC-18 (Americom 18),29644,USA,SES S.A.,Commercial,Communications,,"35773km × 35800km, 0.06°",GEO,,1436.1,"2,081",2006-054B,08/12/2006,15,,All c-band transponders for North American coverage.
"AMC-2 (Americom 2, GE-2)",24713,USA,SES S.A.,Commercial,Communications,,"35774km × 35798km, 0.05°",GEO,,1436.1,"2,648",1997-002A,30/01/1997,15,,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"
AMC-21 (Americom 21),33275,USA,SES S.A.,Commercial,Communications,,"35778km × 35793km, 3°",GEO,,1436.1,"2,500",2008-038B,14/08/2008,15,,"Television services to the US, Canada, Mexico and Caribbean."
"AMC-4 (Americom-4, GE-4)",25954,USA,SES S.A./Gogo,Commercial,Communications,,"35781km × 35791km, 0.01°",GEO,,1436.1,"3,909",1999-060A,13/11/1999,15,,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
"AMC-6 (Americom-6, GE-6)",26580,USA,SES S.A.,Commercial,Communications,,"35778km × 35795km, 0.05°",GEO,,1436.12,"3,901",2000-067A,22/10/2000,15,,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
"AMC-8 (Americom-8, GE-8, Aurora 3)",26639,USA,SES S.A.,Commercial,Communications,,"35773km × 35798km, 0.03°",GEO,,1436.07,"2,015",2000-081B,19/12/2000,15,,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
AmGU-1 (AmurSat-1),44394,Russia,Moscow State University,Civil,Space Science,,"514km × 547km, 97.5°",LEO,Sun-Synchronous,95.2,4,2019-038J,05/07/2019,,,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
Amos 17,44479,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,"35777km × 35793km, 0°",GEO,,1436.04,"6,500",2019-050A,06/08/2019,20,,Replaces Amos 5 which failed in 2015.
Amos 3,32794,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,"35783km × 35789km, 0.04°",GEO,,1436.1,,2008-022A,28/04/2008,12,,"15 transponders, Ku and Ka bands."
Amos 4,39237,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,"35633km × 35796km, 0.01°",GEO,,1432,,2013-045A,31/08/2013,12,,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well."
Amsat-Oscar 7 (AO-7),7530,USA,AMSAT-NA,Civil,Communications,,"1440km × 1459km, 101.4°",LEO,Polar,114.9,29,1974-089B,15/11/1974,,,American amateur radio satellite.
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",45920,South Korea,Agency for Defense Development,Military,Communications,,"35781km × 35792km, 0.01°",GEO,,1436.1,,2020-048A,20/07/2020,15,,First South Korean military satellite.
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),45726,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,"582km × 600km, 97.7°",LEO,Sun-Synchronous,96.5,9,2020-037D,13/06/2020,,,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.
ANGELS (Argos Neo on a Generic Economical and Light Satellite),44876,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,"509km × 524km, 97.4°",LEO,Sun-Synchronous,94.9,18,2019-092D,18/12/2019,,,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. "
Anik F1 ,26624,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35778km × 35793km, 0.02°",GEO,,1436.08,"4,710",2000-076A,21/11/2000,15,,
Anik F1R,28868,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35777km × 35795km, 0.02°",GEO,,1436.1,"4,500",2005-036A,09/09/2005,15,,
Anik F2 ,28378,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35781km × 35790km, 0.01°",GEO,,1436.08,"5,910",2004-027A,18/07/2004,15,,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada"
Anik F3,31102,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35778km × 35794km, 0.01°",GEO,,1436.1,"4,715",2007-009A,09/04/2007,15,,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America."
Anik G1,39127,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35773km × 35799km, 0.01°",GEO,,1436.08,"4,905",2013-014A,15/04/2013,15,,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.
Aoba-VELOX 4,43940,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,"481km × 513km, 97.3°",LEO,Sun-Synchronous,94.6,3,2019-003J,18/01/2019,,,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations."
AprizeSat 1 (LatinSat-C),28372,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,"696km × 764km, 98°",LEO,Sun-Synchronous,99.4,12,2004-025G,29/06/2004,,,Messaging services.
AprizeSat 10 (exactView-13),40019,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"613km × 733km, 97.9°",LEO,Sun-Synchronous,98,12,2014-033K,19/06/2014,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 2 (LatinSat-D),28366,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,"694km × 850km, 98.2°",LEO,Sun-Synchronous,100.3,12,2004-025A,29/06/2004,,,Messaging services.
AprizeSat 3 ,35686,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"559km × 662km, 98.18°",LEO,Sun-Synchronous,97,12,2009-041F,29/07/2009,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 4 ,35684,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"604km × 674km, 98.1°",LEO,Sun-Synchronous,97.5,12,2009-041D,29/07/2009,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 5,37792,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),"610km × 694km, 98.2°",LEO,Sun-Synchronous,97.8,12,2011-044E,17/08/2011,,,Continuation of constellation.
AprizeSat 7,39416,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),"594km × 653km, 97.8°",LEO,Sun-Synchronous,97.17,12,2013-066A,21/11/2013,,,Continuation of constellation.
AprizeSat 8 (exactView-12),39425,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"594km × 669km, 97.8°",LEO,Sun-Synchronous,97.99,12,2013-066K,21/11/2013,,,Continuation of constellation.
AprizeSat 9 (exactView-11),40018,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"613km × 715km, 97.9°",LEO,Sun-Synchronous,98,12,2014-033J,19/06/2014,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
Apstar 6,28638,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35778km × 35794km, 0.01°",GEO,,1436.08,"4,680",2005-012A,12/04/2005,,,Partial power failure in 2018. Apstar 6C has taken over its position.
Apstar 6C,43450,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35783km × 35790km, 0.05°",GEO,,1436.1,,2018-041A,03/05/2018,15,,"45 C-band, Ku-band and Ka-band transponders, Apstar 6C's wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east."
Apstar 6D,45863,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35785km × 35885km, 0.01°",GEO,,1438.5,"5,550",2020-045A,09/07/2020,15,,"Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission."
Apstar 7,38107,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35864km × 35874km, 0.03°",GEO,,1440.31,"5,054",2012-013A,31/03/2012,15,,Replacement for Apstar 2R.
Apstar 9,40982,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35782km × 35788km, 0.12°",GEO,,1436.01,"5,200",2015-059A,16/10/2015,15,,Replacement for Apstar 9A.
Arabsat 5C,37810,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35766km × 35805km, 0.06°",GEO,,1436.06,"4,630",2011-049B,21/09/2011,15,,"26 active C-band transponders, 12 active Ka-band transponders"
Arabsat 6A,44186,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,"35774km × 35811km, 0.01°",GEO,,"1,436.00","6,465",2019-021A,11/04/2019,15,,
Arabsat 7F (Nimiq 1) ,25740,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,"35778km × 35794km, 0.01°",GEO,,1436.09,"3,600",1999-027A,20/05/1999,12,,Television broadcast;  32 Ku-band.
Arkyd-6A,43130,USA,Planetary Resources,Commercial,Technology Development,,"493km × 505km, 97.5°",LEO,Sun-Synchronous,94.5,10,2018-004V,11/01/2018,,,
ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),44352,USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,,"305km × 851km, 28.5°",Elliptical,,96.2,4,2019-036P,25/06/2019,,,See link
ArSat 1,40272,Argentina,ArSat,Commercial,Communications,,"35778km × 35795km, 0.01°",GEO,,1436.07,"3,000",2014-062B,16/10/2014,15,,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay."
ArSat 2,40941,Argentina,ArSat,Commercial,Communications,,"35786km × 35801km, 0.01°",GEO,,1436.06,"2,977",2015-054B,30/09/2015,15,,
AsiaSat-3S (Asiasat 3SA),25657,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35780km × 35792km, 0.02°",GEO,,1436.07,"3,480",1999-013A,21/03/1999,15,,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications"
AsiaSat-5,35696,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35778km × 35795km, 0°",GEO,,1436.11,"3,760",2009-042A,11/08/2009,15,,"14 Ku-Band, 26 C-band, serving all of Asia."
AsiaSat-6 (Thaicom-7),40141,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35783km × 35793km, 0.07°",GEO,,1436.17,"3,700",2014-052A,07/09/2014,15,,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
AsiaSat-7,37933,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35782km × 35793km, 0.02°",GEO,,1436.17,"3,813",2011-069A,25/11/2011,15,,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S."
AsiaSat-8,40107,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35781km × 35793km, 0.07°",GEO,,1436.1,"4,500",2014-046A,05/08/2014,15,,24 Ku-band transponders.
