Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Aerocube 12B,43557,USA,Aerospace Corporation,Commercial,Technology Development,,"481km × 487km, 51.6°",LEO,Non-Polar Inclined,94.2,4,,16/07/2018,,,
Aerocube 14A,45114,USA,Aerospace Corporation,Military,Technology Development,,"459km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,,,31/01/2020,,,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
Aerocube 14B,45116,USA,Aerospace Corporation,Military,Technology Development,,"459km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,,,31/01/2020,,,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
Aerocube 15A,45117,USA,Aerospace Corporation,Military,Technology Development,,"458km × 474km, 51.6°",LEO,Non-Polar Inclined,93.9,,,31/01/2020,,,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."
Aerocube 5C,40965,USA,Aerospace Corporation,Commercial,Technology Development,,"500km × 802km, 64.78°",LEO,Non-Polar Inclined,97.74,2,,08/10/2015,,,"Demonstrate tracking technologies, optical communications and laser communication."
Aerocube 6A,40045,USA,Aerospace Corporation,Commercial,Technology Development,,"614km × 700km, 97.98°",LEO,Sun-Synchronous,97.88,5,,19/06/2014,3,,Technology development for cubesat constellation.
Aerocube 6B,40046,USA,Aerospace Corporation,Commercial,Technology Development,,"614km × 700km, 97.98°",LEO,Sun-Synchronous,97.88,5,,19/06/2014,3,,Technology development for cubesat constellation.
Aerocube 7A,40966,USA,Aerospace Corporation,Commercial,Technology Development,,"500km × 802km, 64.6°",LEO,Non-Polar Inclined,97.4,2,,08/10/2015,,,
Aerocube 7B,43042,USA,Aerospace Corporation,Commercial,Technology Development,,"432km × 437km, 53.6°",LEO,Non-Polar Inclined,93.2,2,,12/11/2017,,,
Aerocube 7C,43043,USA,Aerospace Corporation,Commercial,Technology Development,,"432km × 437km, 53.6°",LEO,Non-Polar Inclined,93.2,2,,12/11/2017,,,
Aerocube 8A,40659,USA,Aerospace Corporation,Commercial,Technology Development,,"356km × 700km, 55°",LEO,Non-Polar Inclined,95.19,5,,20/05/2015,,,
Aerocube 8B,40660,USA,Aerospace Corporation,Commercial,Technology Development,,"356km × 700km, 55°",LEO,Non-Polar Inclined,95.19,5,,20/05/2015,,,
Aerocube 8C,41853,USA,Aerospace Corporation,Commercial,Technology Development,,"569km × 584km, 97.9°",LEO,Sun-Synchronous,96.2,5,,11/11/2016,,,
Aerocube 8D,41852,USA,Aerospace Corporation,Commercial,Technology Development,,"572km × 584km, 98°",LEO,Sun-Synchronous,96.23,2,,11/11/2016,,,
Eutelsat 48D,33460,Multinational,EUTELSAT S.A.,Commercial,Communications,,"35764km × 35808km, 0.12°",GEO,,1436.08,"3,460",,20/12/2008,15,,30 Ku-band transponders.
AIM,31304,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,Earth Science,"544km × 552km, 97.9°",LEO,Sun-Synchronous,96.2,215,,25/04/2007,2,,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
AISat-1,40054,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),"643km × 660km, 98.25°",LEO,Sun-Synchronous,97.76,14,,30/06/2014,,,Satellite equipped with AIS tracking.
AISSat-1,36797,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),"615km × 632km, 98°",LEO,Sun-Synchronous,97.2,6,,12/07/2010,3,,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
AISSat-2,40075,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),"625km × 631km, 98.4°",LEO,Sun-Synchronous,97.27,6,,08/07/2014,3,,Second in the series.
AIST-1,39492,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,"599km × 626km, 82.4°",LEO,Polar,96.9,,,28/12/2013,,,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
AIST-2,39133,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,"558km × 582km, 64.88°",LEO,Non-Polar Inclined,96.06,53,,19/04/2013,3,,Designed to measure the Earth’s geomagnetic field and test out a new satellite design.
AIST-2D,41465,Russia,"Samara State Aerospace University, SGAU",Commercial/Civil,Technology Development,,"471km × 486km, 97.28°",LEO,Sun-Synchronous,94.18,531,,27/04/2016,,,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures."
AISTechSat-2,43768,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),"574km × 592km, 97.8°",LEO,Sun-Synchronous,96.4,3,,03/12/2018,,,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
AISTechSat-3,44103,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),"490km × 506km, 97.5°",LEO,Sun-Synchronous,94.6,2,,01/04/2019,,,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.
Al Yah-3,43174,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,,"35777km × 35796km, 0°",GEO,,1436,"3,795",,25/01/2018,15,,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
Alcomsat,43039,Algeria,Algerian Space Agency (ASAL),Government,Communications,,"35744km × 35798km, 0.04°",GEO,,1436.1,"5,225",,10/12/2017,15,,Algeria's first communications satellite.
ALE-2,44824,Japan,Astro Live Experiences,Commercial,Earth Science,,"397km × 414km, 97.01°",LEO,Sun-Synchronous,92.06,75,,06/12/2019,,,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.
Al-Farabi-2,43805,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,,"573km × 589km, 97.7°",LEO,Sun-Synchronous,96.2,4,,03/12/2018,,,Technology demonstration mission.
ALiCE,39467,USA,US Air Force Institute of Technology,Military,Technology Development,,"443km × 886km, 120.3°",LEO,Polar,98,5,,06/12/2013,,,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.
Alsat-2B,41786,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,"646km × 660km, 98.2°",LEO,Sun-Synchronous,97.7,117,,26/09/2016,5,,Surveillance.
Alsat-1B,41785,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,"661km × 704km, 98.2°",LEO,Sun-Synchronous,98.4,103,,26/09/2016,5,,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
AlSat-1N,41789,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,"661km × 698km, 98.2°",LEO,Sun-Synchronous,98.3,10,,26/09/2016,,,Technology demonstration satellite for Algerian students.
Alsat-2A,36798,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,"672km × 674km, 98.1°",LEO,Sun-Synchronous,98.2,130,,12/07/2010,5,,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
Amazonas-2,35942,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35767km × 35805km, 0.03°",GEO,,1436.08,"5,465",,01/10/2009,15,,"54 Ku-band, 10 C-band transponders; North, Central and South America."
Amazonas-3,39078,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35781km × 35791km, 0.03°",GEO,,1436.05,"6,265",,07/02/2013,15,,
Amazonas-4A,39616,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35784km × 35795km, 0.08°",GEO,,1436.24,"2,938",,22/03/2014,15,,Suffered a power malfunction shortly after entering orbit; will affect capacity.
Amazonas-5,42934,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,"35785km × 35789km, 0.04°",GEO,,1436.11,"5,900",,12/09/2017,15,,"34 Ka-band, 24 Ku-band"
AMC-1,24315,USA,SES S.A.,Commercial,Communications,,"35772km × 35800km, 0.03°",GEO,,1436.1,"2,783",,08/09/1996,15,,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"
AMC-11,28252,USA,SES S.A.,Commercial,Communications,,"35774km × 35797km, 0.04°",GEO,,1436.07,"2,340",,19/05/2004,15,,24 C-band transponders.
AMC-15,28446,USA,SES S.A.,Commercial,Communications,,"35777km × 35795km, 0.04°",GEO,,1436.08,"4,200",,14/10/2004,15,,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
AMC-16,28472,USA,SES S.A.,Commercial,Communications,,"35780km × 35793km, 0.02°",GEO,,1436.1,"4,312",,17/12/2004,15,,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
AMC-18,29644,USA,SES S.A.,Commercial,Communications,,"35773km × 35800km, 0.06°",GEO,,1436.1,"2,081",,08/12/2006,15,,All c-band transponders for North American coverage.
AMC-2,24713,USA,SES S.A.,Commercial,Communications,,"35774km × 35798km, 0.05°",GEO,,1436.1,"2,648",,30/01/1997,15,,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band"
AMC-21,33275,USA,SES S.A.,Commercial,Communications,,"35778km × 35793km, 3°",GEO,,1436.1,"2,500",,14/08/2008,15,,"Television services to the US, Canada, Mexico and Caribbean."
AMC-4,25954,USA,SES S.A./Gogo,Commercial,Communications,,"35781km × 35791km, 0.01°",GEO,,1436.1,"3,909",,13/11/1999,15,,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band"
AMC-6,26580,USA,SES S.A.,Commercial,Communications,,"35778km × 35795km, 0.05°",GEO,,1436.12,"3,901",,22/10/2000,15,,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
AMC-8,26639,USA,SES S.A.,Commercial,Communications,,"35773km × 35798km, 0.03°",GEO,,1436.07,"2,015",,19/12/2000,15,,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean"
AmGU-1,44394,Russia,Moscow State University,Civil,Space Science,,"514km × 547km, 97.5°",LEO,Sun-Synchronous,95.2,4,,05/07/2019,,,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
Amos 17,44479,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,"35777km × 35793km, 0°",GEO,,1436.04,"6,500",,06/08/2019,20,,Replaces Amos 5 which failed in 2015.
Amos 3,32794,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,"35783km × 35789km, 0.04°",GEO,,1436.1,,,28/04/2008,12,,"15 transponders, Ku and Ka bands."
Amos 4,39237,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,"35633km × 35796km, 0.01°",GEO,,1432,,,31/08/2013,12,,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well."
Amsat-Oscar 7,7530,USA,AMSAT-NA,Civil,Communications,,"1440km × 1459km, 101.4°",LEO,Polar,114.9,29,,15/11/1974,,,American amateur radio satellite.
ANASIS-II,45920,South Korea,Agency for Defense Development,Military,Communications,,"35781km × 35792km, 0.01°",GEO,,1436.1,,,20/07/2020,15,,First South Korean military satellite.
ANDESITE Mule,45726,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,"582km × 600km, 97.7°",LEO,Sun-Synchronous,96.5,9,,13/06/2020,,,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.
ANGELS,44876,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,"509km × 524km, 97.4°",LEO,Sun-Synchronous,94.9,18,,18/12/2019,,,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. "
Anik F1,26624,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35778km × 35793km, 0.02°",GEO,,1436.08,"4,710",,21/11/2000,15,,
Anik F1R,28868,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35777km × 35795km, 0.02°",GEO,,1436.1,"4,500",,09/09/2005,15,,
Anik F2,28378,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35781km × 35790km, 0.01°",GEO,,1436.08,"5,910",,18/07/2004,15,,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada"
Anik F3,31102,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35778km × 35794km, 0.01°",GEO,,1436.1,"4,715",,09/04/2007,15,,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America."
Anik G1,39127,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,"35773km × 35799km, 0.01°",GEO,,1436.08,"4,905",,15/04/2013,15,,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.
Aoba-VELOX 4,43940,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,"481km × 513km, 97.3°",LEO,Sun-Synchronous,94.6,3,,18/01/2019,,,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations."
AprizeSat 1,28372,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,"696km × 764km, 98°",LEO,Sun-Synchronous,99.4,12,,29/06/2004,,,Messaging services.
AprizeSat 10,40019,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"613km × 733km, 97.9°",LEO,Sun-Synchronous,98,12,,19/06/2014,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 2,28366,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,"694km × 850km, 98.2°",LEO,Sun-Synchronous,100.3,12,,29/06/2004,,,Messaging services.
AprizeSat 3,35686,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"559km × 662km, 98.18°",LEO,Sun-Synchronous,97,12,,29/07/2009,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 4,35684,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"604km × 674km, 98.1°",LEO,Sun-Synchronous,97.5,12,,29/07/2009,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
AprizeSat 5,37792,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),"610km × 694km, 98.2°",LEO,Sun-Synchronous,97.8,12,,17/08/2011,,,Continuation of constellation.
AprizeSat 7,39416,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),"594km × 653km, 97.8°",LEO,Sun-Synchronous,97.17,12,,21/11/2013,,,Continuation of constellation.
AprizeSat 8,39425,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"594km × 669km, 97.8°",LEO,Sun-Synchronous,97.99,12,,21/11/2013,,,Continuation of constellation.
AprizeSat 9,40018,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),"613km × 715km, 97.9°",LEO,Sun-Synchronous,98,12,,19/06/2014,,,Will provide tracking and data monitoring services for companies with remote or mobile assets.
Apstar 6,28638,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35778km × 35794km, 0.01°",GEO,,1436.08,"4,680",,12/04/2005,,,Partial power failure in 2018. Apstar 6C has taken over its position.
Apstar 6C,43450,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35783km × 35790km, 0.05°",GEO,,1436.1,,,03/05/2018,15,,"45 C-band, Ku-band and Ka-band transponders, Apstar 6C’s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east."
Apstar 6D,45863,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35785km × 35885km, 0.01°",GEO,,1438.5,"5,550",,09/07/2020,15,,"Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission."
Apstar 7,38107,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35864km × 35874km, 0.03°",GEO,,1440.31,"5,054",,31/03/2012,15,,Replacement for Apstar 2R.
Apstar 9,40982,China,APT Satellite Holdings Ltd.,Commercial,Communications,,"35782km × 35788km, 0.12°",GEO,,1436.01,"5,200",,16/10/2015,15,,Replacement for Apstar 9A.
Arabsat 5C,37810,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,"35766km × 35805km, 0.06°",GEO,,1436.06,"4,630",,21/09/2011,15,,"26 active C-band transponders, 12 active Ka-band transponders"
Arabsat 6A,44186,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,"35774km × 35811km, 0.01°",GEO,,"1,436.00","6,465",,11/04/2019,15,,
Arabsat 7F,25740,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,"35778km × 35794km, 0.01°",GEO,,1436.09,"3,600",,20/05/1999,12,,Television broadcast;  32 Ku-band.
Arkyd-6A,43130,USA,Planetary Resources,Commercial,Technology Development,,"493km × 505km, 97.5°",LEO,Sun-Synchronous,94.5,10,,11/01/2018,,,
ARMADILLO,44352,USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,,"305km × 851km, 28.5°",Elliptical,,96.2,4,,25/06/2019,,,See link
ArSat 1,40272,Argentina,ArSat,Commercial,Communications,,"35778km × 35795km, 0.01°",GEO,,1436.07,"3,000",,16/10/2014,15,,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay."
ArSat 2,40941,Argentina,ArSat,Commercial,Communications,,"35786km × 35801km, 0.01°",GEO,,1436.06,"2,977",,30/09/2015,15,,
AsiaSat-3S,25657,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35780km × 35792km, 0.02°",GEO,,1436.07,"3,480",,21/03/1999,15,,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications"
AsiaSat-5,35696,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35778km × 35795km, 0°",GEO,,1436.11,"3,760",,11/08/2009,15,,"14 Ku-Band, 26 C-band, serving all of Asia."
AsiaSat-6,40141,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35783km × 35793km, 0.07°",GEO,,1436.17,"3,700",,07/09/2014,15,,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
AsiaSat-7,37933,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35782km × 35793km, 0.02°",GEO,,1436.17,"3,813",,25/11/2011,15,,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S."
AsiaSat-8,40107,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35781km × 35793km, 0.07°",GEO,,1436.1,"4,500",,05/08/2014,15,,24 Ku-band transponders.
AsiaSat-9,42942,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,"35783km × 35790km, 0.02°",GEO,,1436.1,"6,140",,28/09/2017,15,,"38 Ku-band, 28 C-band transponders. "
AsiaStar,26107,USA,1Worldspace,Commercial,Communications,,"35773km × 35801km, 0.02°",GEO,,1436.15,"2,775",,21/03/2000,15,,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers."
ASNARO-1,40298,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,"506km × 507km, 97.48°",LEO,Sun-Synchronous,94.75,500,,06/11/2014,3,,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
ASNARO-2,43152,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,"493km × 505km, 97.3°",LEO,Sun-Synchronous,94.5,570,,17/01/2018,3,,X-band radar.
Astra 1D,23331,Luxembourg,SES S.A.,Commercial,Communications,,"35776km × 35795km, 1.15°",GEO,,1436.08,"2,924",,01/11/1994,15,,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.
Astra 1F,23842,Luxembourg,SES S.A.,Commercial,Communications,,"35778km × 35797km, 0.03°",GEO,,1436.15,"3,010",,18/04/1996,15,,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.
Astra 1G,25071,Luxembourg,SES S.A.,Commercial,Communications,,"35780km × 35791km, 0.04°",GEO,,1436.08,"3,379",,02/12/1997,15,,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
Astra 1KR,29055,Luxembourg,SES S.A.,Commercial,Communications,,"35766km × 35807km, 0.08°",GEO,,1436.1,"4,332",,20/04/2006,15,,32 Ku-band transponders; direct-to-home broadcast services across Europe.
Astra 1L,31306,Luxembourg,SES S.A.,Commercial,Communications,,"35772km × 35798km, 0.05°",GEO,,1436.03,"4,500",,04/05/2007,15,,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter."
Astra 1M,33436,Luxembourg,SES S.A.,Commercial,Communications,,"35804km × 35852km, 0.14°",GEO,,1438.2,"5,345",,05/11/2008,15,,Direct-to-home and HD television.
Astra 1N,37775,Luxembourg,SES S.A.,Commercial,Communications,,"35715km × 35780km, 0.12°",GEO,,1434.1,"5,350",,06/08/2011,15,,Direct-to-home and HD television.
Astra 2A,25462,Luxembourg,SES S.A.,Commercial,Communications,,"35776km × 35797km, 0.08°",GEO,,1436.12,"3,635",,30/08/1998,15,,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after."
Astra 2B,26494,Luxembourg,SES S.A.,Commercial,Communications,,"35772km × 35801km, 0.07°",GEO,,1436.11,"3,315",,14/09/2000,14,,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland."
Astra 2C,26853,Luxembourg,SES S.A.,Commercial,Communications,,"35768km × 35804km, 0.07°",GEO,,1436.12,"3,643",,16/06/2001,15,,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe"
