Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Communications,LEO,12/07/2010,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.,Automatic Identification System (AIS),,3,,6,36797,Norway,AISSat-1,Norwegian Coastal Admnistration,"615km � 632km, 98�",97.2,Sun-Synchronous,Government,60e5620c98df02cf357fffe9
Communications,LEO,08/07/2014,Second in the series.,Automatic Identification System (AIS),,3,,6,40075,Norway,AISSat-2,Norwegian Coastal Admnistration,"625km � 631km, 98.4�",97.27,Sun-Synchronous,Government,60e5620c98df02cf357fffea
Technology Development,LEO,28/12/2013,Designed to measure the Earth�s geomagnetic field and test out a new satellite design.,,,,,,39492,Russia,AIST-1,"Samara State Aerospace University, SGAU","599km � 626km, 82.4�",96.9,Polar,Commercial/Civil,60e5620c98df02cf357fffeb
Technology Development,LEO,19/04/2013,Designed to measure the Earth�s geomagnetic field and test out a new satellite design.,,,3,,53,39133,Russia,AIST-2,"Samara State Aerospace University, SGAU","558km � 582km, 64.88�",96.06,Non-Polar Inclined,Commercial/Civil,60e5620c98df02cf357fffec
Technology Development,LEO,27/04/2016,"Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth�s surface to study underground structures.",,,,,531,41465,Russia,AIST-2D,"Samara State Aerospace University, SGAU","471km � 486km, 97.28�",94.18,Sun-Synchronous,Commercial/Civil,60e5620c98df02cf357fffed
Earth Observation,LEO,03/12/2018,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.,Automatic Identification System (AIS),,,,3,43768,Spain,AISTechSat-2,AISTech,"574km � 592km, 97.8�",96.4,Sun-Synchronous,Commercial,60e5620c98df02cf357fffee
Earth Observation,LEO,01/04/2019,"Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.",Automatic Identification System (AIS),,,,2,44103,Spain,AISTechSat-3,AISTech,"490km � 506km, 97.5�",94.6,Sun-Synchronous,Commercial,60e5620c98df02cf357fffef
Communications,GEO,25/01/2018,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well.",,,15,,"3,795",43174,United Arab Emirates,Al Yah-3,Al Yah Satellite Communications Co. (YAHSAT),"35777km � 35796km, 0�",1436,,Commercial,60e5620c98df02cf357ffff0
Communications,GEO,10/12/2017,"Algeria's first communications satellite.",,,15,,"5,225",43039,Algeria,Alcomsat,Algerian Space Agency (ASAL),"35744km � 35798km, 0.04�",1436.1,,Government,60e5620c98df02cf357ffff1
Earth Science,LEO,06/12/2019,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.,,,,,75,44824,Japan,ALE-2,Astro Live Experiences,"397km � 414km, 97.01�",92.06,Sun-Synchronous,Commercial,60e5620c98df02cf357ffff2
Technology Development,LEO,03/12/2018,Technology demonstration mission.,,,,,4,43805,Kazakhstan,Al-Farabi-2,Al-Farabi Kazakh National University,"573km � 589km, 97.7�",96.2,Sun-Synchronous,Civil,60e5620c98df02cf357ffff3
Technology Development,LEO,06/12/2013,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.,,,,,5,39467,USA,ALiCE,US Air Force Institute of Technology,"443km � 886km, 120.3�",98,Polar,Military,60e5620c98df02cf357ffff4
Earth Observation,LEO,26/09/2016,Surveillance.,Optical Imaging,,5,,117,41786,Algeria,Alsat-2B,Algerian Space Agency (ASAL),"646km � 660km, 98.2�",97.7,Sun-Synchronous,Government,60e5620c98df02cf357ffff5
Earth Observation,LEO,26/09/2016,"Imagery for�agricultural and resource monitoring, disaster management, land use mapping and urban planning,",Optical Imaging,,5,,103,41785,Algeria,Alsat-1B,Algerian Space Agency (ASAL),"661km � 704km, 98.2�",98.4,Sun-Synchronous,Government,60e5620c98df02cf357ffff6
Technology Development,LEO,26/09/2016,Technology demonstration satellite for Algerian students.,,,,,10,41789,Algeria,AlSat-1N,Algerian Space Agency (ASAL)/UK Space Agency,"661km � 698km, 98.2�",98.3,Sun-Synchronous,Government,60e5620c98df02cf357ffff7
Earth Observation,LEO,12/07/2010,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.",Optical Imaging,,5,,130,36798,Algeria,Alsat-2A,Algerian Space Agency (ASAL),"672km � 674km, 98.1�",98.2,Sun-Synchronous,Government,60e5620c98df02cf357ffff8
Communications,GEO,01/10/2009,"54 Ku-band, 10 C-band transponders; North, Central and South America.",,,15,,"5,465",35942,Spain,Amazonas-2,Hispamar (subsidiary of Hispasat - Spain),"35767km � 35805km, 0.03�",1436.08,,Commercial,60e5620c98df02cf357ffff9
Communications,GEO,07/02/2013,,,,15,,"6,265",39078,Spain,Amazonas-3,Hispamar (subsidiary of Hispasat - Spain),"35781km � 35791km, 0.03�",1436.05,,Commercial,60e5620c98df02cf357ffffa
Communications,GEO,22/03/2014,Suffered a power malfunction shortly after entering orbit; will affect capacity.,,,15,,"2,938",39616,Spain,Amazonas-4A,Hispamar (subsidiary of Hispasat - Spain),"35784km � 35795km, 0.08�",1436.24,,Commercial,60e5620c98df02cf357ffffb
Communications,GEO,12/09/2017,"34 Ka-band, 24 Ku-band",,,15,,"5,900",42934,Spain,Amazonas-5,Hispamar (subsidiary of Hispasat - Spain),"35785km � 35789km, 0.04�",1436.11,,Commercial,60e5620c98df02cf357ffffc
Communications,GEO,08/09/1996,"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean",,,15,,"2,783",24315,USA,AMC-1,SES S.A.,"35772km � 35800km, 0.03�",1436.1,,Commercial,60e5620c98df02cf357ffffd
Communications,GEO,19/05/2004,24 C-band transponders.,,,15,,"2,340",28252,USA,AMC-11,SES S.A.,"35774km � 35797km, 0.04�",1436.07,,Commercial,60e5620c98df02cf357ffffe
Communications,GEO,14/10/2004,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",,,15,,"4,200",28446,USA,AMC-15,SES S.A.,"35777km � 35795km, 0.04�",1436.08,,Commercial,60e5620c98df02cf357fffff
Communications,GEO,17/12/2004,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.",,,15,,"4,312",28472,USA,AMC-16,SES S.A.,"35780km � 35793km, 0.02�",1436.1,,Commercial,60e5620c98df02cf35800000
Communications,GEO,08/12/2006,All c-band transponders for North American coverage.,,,15,,"2,081",29644,USA,AMC-18,SES S.A.,"35773km � 35800km, 0.06�",1436.1,,Commercial,60e5620c98df02cf35800001
Communications,GEO,30/01/1997,"Broadcasting, business, cable; CONUS, Hawaii, Caribbean, southern Canada; 24 Ku- and 24 C-band",,,15,,"2,648",24713,USA,AMC-2,SES S.A.,"35774km � 35798km, 0.05�",1436.1,,Commercial,60e5620c98df02cf35800002
Communications,GEO,14/08/2008,"Television services to the US, Canada, Mexico and Caribbean.",,,15,,"2,500",33275,USA,AMC-21,SES S.A.,"35778km � 35793km, 3�",1436.1,,Commercial,60e5620c98df02cf35800003
Communications,GEO,13/11/1999,"Broadcasting, cable, internet; CONUS, Canada, Mexico, Caribbean, Central America, South America; 28 Ku- and 24 C-band",,,15,,"3,909",25954,USA,AMC-4,SES S.A./Gogo,"35781km � 35791km, 0.01�",1436.1,,Commercial,60e5620c98df02cf35800004
Communications,GEO,22/10/2000,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America",,,15,,"3,901",26580,USA,AMC-6,SES S.A.,"35778km � 35795km, 0.05�",1436.12,,Commercial,60e5620c98df02cf35800005
Communications,GEO,19/12/2000,"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean",,,15,,"2,015",26639,USA,AMC-8,SES S.A.,"35773km � 35798km, 0.03�",1436.07,,Commercial,60e5620c98df02cf35800006
Space Science,LEO,05/07/2019,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.,,,,,4,44394,Russia,AmGU-1,Moscow State University,"514km � 547km, 97.5�",95.2,Sun-Synchronous,Civil,60e5620c98df02cf35800007
Communications,GEO,06/08/2019,Replaces Amos 5 which failed in 2015.,,,20,,"6,500",44479,Israel,Amos 17,Space-Communication Ltd.,"35777km � 35793km, 0�",1436.04,,Military/Commercial,60e5620c98df02cf35800008
Communications,GEO,28/04/2008,"15 transponders, Ku and Ka bands.",,,12,,,32794,Israel,Amos 3,Space-Communication Ltd.,"35783km � 35789km, 0.04�",1436.1,,Military/Commercial,60e5620c98df02cf35800009
Communications,GEO,31/08/2013,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.",,,12,,,39237,Israel,Amos 4,Space-Communication Ltd.,"35633km � 35796km, 0.01�",1432,,Military/Commercial,60e5620c98df02cf3580000a
Communications,LEO,15/11/1974,American amateur radio satellite.,,,,,29,7530,USA,Amsat-Oscar 7,AMSAT-NA,"1440km � 1459km, 101.4�",114.9,Polar,Civil,60e5620c98df02cf3580000b
Communications,GEO,20/07/2020,First South Korean military satellite.,,,15,,,45920,South Korea,ANASIS-II,Agency for Defense Development,"35781km � 35792km, 0.01�",1436.1,,Military,60e5620c98df02cf3580000c
Space Science/Technology Demonstration,LEO,13/06/2020,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.,,,,,9,45726,USA,ANDESITE Mule,ANDESITE - Boston University,"582km � 600km, 97.7�",96.5,Sun-Synchronous,Civil,60e5620c98df02cf3580000d
Communications,LEO,18/12/2019,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. ",,,,,18,44876,ESA,ANGELS,"Centre National d'Etudes Spatiales (CNES)","509km � 524km, 97.4�",94.9,Sun-Synchronous,Government,60e5620c98df02cf3580000e
Communications,GEO,21/11/2000,,,,15,,"4,710",26624,Canada,Anik F1,"Telesat Canada Ltd. (BCE, Inc.)","35778km � 35793km, 0.02�",1436.08,,Commercial,60e5620c98df02cf3580000f
Communications,GEO,09/09/2005,,,,15,,"4,500",28868,Canada,Anik F1R,"Telesat Canada Ltd. (BCE, Inc.)","35777km � 35795km, 0.02�",1436.1,,Commercial,60e5620c98df02cf35800010
Communications,GEO,18/07/2004,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada",,,15,,"5,910",28378,Canada,Anik F2,"Telesat Canada Ltd. (BCE, Inc.)","35781km � 35790km, 0.01�",1436.08,,Commercial,60e5620c98df02cf35800011
Communications,GEO,09/04/2007,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.",,,15,,"4,715",31102,Canada,Anik F3,"Telesat Canada Ltd. (BCE, Inc.)","35778km � 35794km, 0.01�",1436.1,,Commercial,60e5620c98df02cf35800012
Communications,GEO,15/04/2013,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,,,15,,"4,905",39127,Canada,Anik G1,"Telesat Canada Ltd. (BCE, Inc.)","35773km � 35799km, 0.01�",1436.08,,Commercial,60e5620c98df02cf35800013
Technology Development,LEO,18/01/2019,"Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations.",,,,,3,43940,Japan,Aoba-VELOX 4,Kyushu Institute of Technology (KIT),"481km � 513km, 97.3�",94.6,Sun-Synchronous,Civil,60e5620c98df02cf35800014
Communications/Technology Development,LEO,29/06/2004,Messaging services.,,,,,12,28372,Argentina,AprizeSat 1,Aprize Satellite Argentina,"696km � 764km, 98�",99.4,Sun-Synchronous,Commercial,60e5620c98df02cf35800015
Communications/Maritime Tracking,LEO,19/06/2014,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Automatic Identification System (AIS),,,,12,40019,USA/Argentina,AprizeSat 10,Aprize Satellite,"613km � 733km, 97.9�",98,Sun-Synchronous,Commercial,60e5620c98df02cf35800016
Communications/Technology Development,LEO,29/06/2004,Messaging services.,,,,,12,28366,Argentina,AprizeSat 2,Aprize Satellite Argentina,"694km � 850km, 98.2�",100.3,Sun-Synchronous,Commercial,60e5620c98df02cf35800017
Communications/Maritime Tracking,LEO,29/07/2009,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Automatic Identification System (AIS),,,,12,35686,USA/Argentina,AprizeSat 3,Aprize Satellite,"559km � 662km, 98.18�",97,Sun-Synchronous,Commercial,60e5620c98df02cf35800018
Communications/Maritime Tracking,LEO,29/07/2009,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Automatic Identification System (AIS),,,,12,35684,USA/Argentina,AprizeSat 4,Aprize Satellite,"604km � 674km, 98.1�",97.5,Sun-Synchronous,Commercial,60e5620c98df02cf35800019
Communications,LEO,17/08/2011,Continuation of constellation.,Automatic Identification System (AIS),,,,12,37792,Canada,AprizeSat 5,Aprize Satellite,"610km � 694km, 98.2�",97.8,Sun-Synchronous,Commercial,60e5620c98df02cf3580001a
Communications,LEO,21/11/2013,Continuation of constellation.,Automatic Identification System (AIS),,,,12,39416,Canada,AprizeSat 7,Aprize Satellite,"594km � 653km, 97.8�",97.17,Sun-Synchronous,Commercial,60e5620c98df02cf3580001b
Communications/Maritime Tracking,LEO,21/11/2013,Continuation of constellation.,Automatic Identification System (AIS),,,,12,39425,USA/Argentina,AprizeSat 8,Aprize Satellite,"594km � 669km, 97.8�",97.99,Sun-Synchronous,Commercial,60e5620c98df02cf3580001c
Communications/Maritime Tracking,LEO,19/06/2014,Will provide tracking and data monitoring services for companies with remote or mobile assets.,Automatic Identification System (AIS),,,,12,40018,Canada,AprizeSat 9,exactEarth,"613km � 715km, 97.9�",98,Sun-Synchronous,Commercial,60e5620c98df02cf3580001d
Communications,GEO,12/04/2005,Partial power failure in 2018. Apstar 6C has taken over its position.,,,,,"4,680",28638,China,Apstar 6,APT Satellite Holdings Ltd.,"35778km � 35794km, 0.01�",1436.08,,Commercial,60e5620c98df02cf3580001e
Communications,GEO,03/05/2018,"45 C-band, Ku-band and Ka-band transponders, Apstar 6C�s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east.",,,15,,,43450,China,Apstar 6C,APT Satellite Holdings Ltd.,"35783km � 35790km, 0.05�",1436.1,,Commercial,60e5620c98df02cf3580001f
Communications,GEO,09/07/2020,"Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission.",,,15,,"5,550",45863,China,Apstar 6D,APT Satellite Holdings Ltd.,"35785km � 35885km, 0.01�",1438.5,,Commercial,60e5620c98df02cf35800020
Communications,GEO,31/03/2012,Replacement for Apstar 2R.,,,15,,"5,054",38107,China,Apstar 7,APT Satellite Holdings Ltd.,"35864km � 35874km, 0.03�",1440.31,,Commercial,60e5620c98df02cf35800021
Communications,GEO,16/10/2015,Replacement for Apstar 9A.,,,15,,"5,200",40982,China,Apstar 9,APT Satellite Holdings Ltd.,"35782km � 35788km, 0.12�",1436.01,,Commercial,60e5620c98df02cf35800022
Communications,GEO,21/09/2011,"26 active C-band transponders, 12 active Ka-band transponders",,,15,,"4,630",37810,Multinational,Arabsat 5C,Arab Satellite Communications Org. (ASCO),"35766km � 35805km, 0.06�",1436.06,,Government,60e5620c98df02cf35800023
Communications,GEO,11/04/2019,,,,15,,"6,465",44186,Multinational,Arabsat 6A,Arab Satellite Communications Org. (ASCO),"35774km � 35811km, 0.01�","1,436.00",,Commercial,60e5620c98df02cf35800024
Communications,GEO,20/05/1999,Television broadcast;  32 Ku-band.,,,12,,"3,600",25740,Multinational,Arabsat 7F,Arab Satellite Communications Org. (ASCO),"35778km � 35794km, 0.01�",1436.09,,Commercial,60e5620c98df02cf35800025
Technology Development,LEO,11/01/2018,,,,,,10,43130,USA,Arkyd-6A,Planetary Resources,"493km � 505km, 97.5�",94.5,Sun-Synchronous,Commercial,60e5620c98df02cf35800026
Technology Development,Elliptical,25/06/2019,See link,,,,,4,44352,USA,ARMADILLO,Satellite Design Laboratory UT Austin/Baylor University,"305km � 851km, 28.5�",96.2,,Civil,60e5620c98df02cf35800027
Communications,GEO,16/10/2014,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.",,,15,,"3,000",40272,Argentina,ArSat 1,ArSat,"35778km � 35795km, 0.01�",1436.07,,Commercial,60e5620c98df02cf35800028
Communications,GEO,30/09/2015,,,,15,,"2,977",40941,Argentina,ArSat 2,ArSat,"35786km � 35801km, 0.01�",1436.06,,Commercial,60e5620c98df02cf35800029
Communications,GEO,21/03/1999,"28 C-band, 16 Ku-band; broadcasting, internet services, multimedia, telecommunications",,,15,,"3,480",25657,China,AsiaSat-3S,Asia Satellite Telecommunications Co. Ltd.,"35780km � 35792km, 0.02�",1436.07,,Commercial,60e5620c98df02cf3580002a
Communications,GEO,11/08/2009,"14 Ku-Band, 26 C-band, serving all of Asia.",,,15,,"3,760",35696,China,AsiaSat-5,Asia Satellite Telecommunications Co. Ltd.,"35778km � 35795km, 0�",1436.11,,Commercial,60e5620c98df02cf3580002b
Communications,GEO,07/09/2014,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.,,,15,,"3,700",40141,China,AsiaSat-6,Asia Satellite Telecommunications Co. Ltd.,"35783km � 35793km, 0.07�",1436.17,,Commercial,60e5620c98df02cf3580002c
